# Time-averaged data for fix Fdensity
# TimeStep v_qTemp v_rho v_qmass v_Volume
4750 4890.54 2.17916 91386.9 69662.4
4760 4882.62 2.17079 91386.9 69931
4770 4878.01 2.16247 91386.9 70200.1
4780 4876.9 2.15419 91386.9 70469.8
4790 4879.7 2.14596 91386.9 70740.2
4800 4886.74 2.13777 91386.9 71011.2
4810 4898.1 2.12961 91386.9 71283.1
4820 4912.79 2.1215 91386.9 71555.8
4830 4930.27 2.11342 91386.9 71829.4
4840 4950.53 2.10537 91386.9 72104.1
4850 4972.82 2.09735 91386.9 72379.8
4860 4996.06 2.08935 91386.9 72656.8
4870 5018.77 2.08138 91386.9 72935.2
4880 5040.2 2.07342 91386.9 73215
4890 5060.06 2.06549 91386.9 73496.3
4900 5076.98 2.05757 91386.9 73779.2
4910 5090.98 2.04966 91386.9 74063.7
4920 5102.09 2.04177 91386.9 74349.9
4930 5110.5 2.0339 91386.9 74637.7
4940 5116.57 2.02604 91386.9 74927.2
4950 5119.79 2.0182 91386.9 75218.3
4960 5119.82 2.01038 91386.9 75511
4970 5116.33 2.00257 91386.9 75805.2
4980 5109.7 1.99479 91386.9 76100.9
4990 5100.6 1.98703 91386.9 76398
5000 5090.19 1.9793 91386.9 76696.7
